DDS_TRADETIME,DDSSWAPS_TRADETIME,ISIN,PRICE,DKSW30,DKSW10,DKSW5,DKSW2,FUT_BUND,FUT_BOBL,FUT_SCHATZ
2020-08-27 10:01:58,2020-08-27 10:01:58,"DK0009294845",100.868494,0.20547,0.036499,-0.140524,-0.153136,176.354667,134.79649,112.036713
2020-08-27 10:04:04,2020-08-27 10:04:04,"DK0002038587",100.190002,0.202216,0.03343,-0.143883,-0.153372,176.344668,134.79649,112.026714
2020-08-27 10:06:01,2020-08-27 10:06:01,"DK0002044718",99.399972,0.201951,0.03309,-0.143884,-0.153613,176.324669,134.79649,112.026714
2020-08-27 10:06:24,2020-08-27 10:06:24,"DK0009527293",99.225006,0.201016,0.032196,-0.144176,-0.15351,176.324669,134.79649,112.026714
2020-08-27 10:10:56,2020-08-27 10:10:56,"DK0004605755",100.240005,0.200466,0.031787,-0.142321,-0.152708,176.314668,134.79649,112.026714
2020-08-27 10:13:50,2020-08-27 10:13:50,"DK0002041532",100.360001,0.198018,0.030158,-0.143455,-0.15337,176.314668,134.79649,112.026714
2020-08-27 10:16:50,2020-08-27 10:16:50,"DK0009522302",100.135945,0.199001,0.030999,-0.143287,-0.153435,176.284668,134.78649,112.026714
2020-08-27 10:17:20,2020-08-27 10:17:20,"DK0009294845",100.868781,0.198808,0.03088,-0.143233,-0.152807,176.284668,134.79649,112.026714
2020-08-27 10:27:13,2020-08-27 10:27:13,"DK0009294928",102.242102,0.19788,0.030072,-0.143794,-0.153964,176.274669,134.766489,112.026714
2020-08-27 10:30:54,2020-08-27 10:30:54,"DK0009522815",100,0.199151,0.031252,-0.143288,-0.154155,176.224669,134.756489,112.026714
2020-08-27 10:31:44,2020-08-27 10:31:44,"DK0009286825",101.458696,0.198278,0.030215,-0.143469,-0.1549,176.224669,134.756489,112.026714
2020-08-27 10:33:59,2020-08-27 10:33:59,"DK0009522302",100.135945,0.199096,0.031198,-0.143955,-0.153785,176.224669,134.78649,112.026714
2020-08-27 10:35:09,2020-08-27 10:35:09,"DK0009522815",100,0.200311,0.032332,-0.142643,-0.153307,176.254667,134.78649,112.026714
2020-08-27 10:36:25,2020-08-27 10:36:25,"DK0009524001",108.436819,0.200227,0.032447,-0.145064,-0.153547,176.254667,134.78649,112.026714
2020-08-27 10:36:38,2020-08-27 10:36:38,"DK0004612454",100,0.200744,0.032761,-0.14524,-0.154153,176.254667,134.78649,112.026714
2020-08-27 10:45:28,2020-08-27 10:45:28,"DK0004616018",98.424971,0.199433,0.031642,-0.146195,-0.154284,176.254667,134.78649,112.026714
2020-08-27 10:45:29,2020-08-27 10:45:29,"DK0004613189",96.850018,0.199326,0.031551,-0.146195,-0.154284,176.254667,134.78649,112.026714
2020-08-27 10:45:30,2020-08-27 10:45:30,"DK0009525081",96.850013,0.199326,0.031551,-0.146195,-0.154284,176.254667,134.78649,112.026714
2020-08-27 10:45:32,2020-08-27 10:45:32,"DK0009527376",98.424971,0.199194,0.031439,-0.146195,-0.154284,176.254667,134.78649,112.026714
2020-08-27 10:50:14,2020-08-27 10:50:14,"DK0009523466",100.150002,0.196609,0.028897,-0.1478,-0.154386,176.224669,134.756489,112.026714
2020-08-27 10:50:59,2020-08-27 10:50:59,"DK0002041532",100.360001,0.195638,0.027658,-0.148082,-0.154828,176.224669,134.756489,112.026714
2020-08-27 10:52:30,2020-08-27 10:52:30,"DK0009294928",102.242666,0.195641,0.027767,-0.149425,-0.154545,176.244668,134.766489,112.026714
2020-08-27 10:52:50,2020-08-27 10:52:50,"DK0009523466",100.150002,0.194863,0.027414,-0.149425,-0.154371,176.224669,134.756489,112.026714
2020-08-27 10:54:59,2020-08-27 10:54:59,"DK0009524357",99.05,0.196982,0.028893,-0.147028,-0.154397,176.224669,134.756489,112.026714
2020-08-28 13:22:15,2020-08-28 13:22:15,"DK0009294845",100.864076,0.274176,0.079032,-0.125749,-0.148318,175.664478,134.69649,112.026714
2020-08-28 13:22:29,2020-08-28 13:22:29,"DK0009527376",98.149969,0.27364,0.078494,-0.126182,-0.148467,175.654479,134.69649,112.026714
2020-08-28 13:22:36,2020-08-28 13:22:36,"DK0009527376",98.149969,0.273446,0.078277,-0.126182,-0.148467,175.654479,134.69649,112.026714
2020-08-28 13:23:12,2020-08-28 13:23:12,"DK0009527376",98.149969,0.27395,0.078794,-0.126312,-0.148504,175.664478,134.71649,112.026714
2020-08-28 13:26:59,2020-08-28 13:26:59,"DK0009403131",98.174969,0.275536,0.080198,-0.126046,-0.14862,175.594478,134.71649,112.026714
